entity,timestamp,x.max() - x.min()
MyShop,2020-06-28,4.299999999999999
MyShop,2020-06-29,6.399999999999999
MyShop,2020-06-30,11.0
MyShop,2020-07-01,6.700000000000001
MyShop,2020-07-02,9.2
MyShop,2020-07-03,8.200000000000001
MyShop,2020-07-04,12.899999999999999
MyShop,2020-07-05,12.899999999999999
MyShop,2020-07-06,9.399999999999999
MyShop,2020-07-07,11.599999999999998
MyShop,2020-07-08,7.0
MyShop,2020-07-09,9.9
MyShop,2020-07-10,10.799999999999999
MyShop,2020-07-11,12.100000000000001
MyShop,2020-07-12,10.3
MyShop,2020-07-13,7.5
MyShop,2020-07-14,6.300000000000001
MyShop,2020-07-15,2.5
MyShop,2020-07-16,6.0
MyShop,2020-07-17,12.0
MyShop,2020-07-18,9.899999999999999
MyShop,2020-07-19,10.299999999999999
MyShop,2020-07-20,12.3
MyShop,2020-07-21,11.7
MyShop,2020-07-22,11.899999999999999
MyShop,2020-07-23,11.6
MyShop,2020-07-24,10.3
MyShop,2020-07-25,10.3
MyShop,2020-07-26,5.699999999999999
MyShop,2020-07-27,12.899999999999999
MyShop,2020-07-28,11.100000000000001
MyShop,2020-07-29,4.399999999999999
MyShop,2020-07-30,4.0
MyShop,2020-07-31,8.1
MyShop,2020-08-01,7.700000000000001
MyShop,2020-08-02,9.8
MyShop,2020-08-03,9.4
MyShop,2020-08-04,10.600000000000001
MyShop,2020-08-05,11.200000000000001
MyShop,2020-08-06,12.4
MyShop,2020-08-07,12.799999999999999
MyShop,2020-08-08,13.3
MyShop,2020-08-09,11.7
MyShop,2020-08-10,12.499999999999998
MyShop,2020-08-11,11.5
MyShop,2020-08-12,13.7
MyShop,2020-08-13,13.3
MyShop,2020-08-14,10.7
MyShop,2020-08-15,4.699999999999999
MyShop,2020-08-16,4.700000000000001
MyShop,2020-08-17,3.5
MyShop,2020-08-18,2.8999999999999986
MyShop,2020-08-19,9.400000000000002
MyShop,2020-08-20,4.1
MyShop,2020-08-21,4.199999999999999
MyShop,2020-08-22,5.200000000000001
MyShop,2020-08-23,9.7
MyShop,2020-08-24,10.999999999999998
MyShop,2020-08-25,9.500000000000002
MyShop,2020-08-26,13.6
MyShop,2020-08-27,13.7
MyShop,2020-08-28,14.799999999999999
MyShop,2020-08-29,14.4
MyShop,2020-08-30,13.0
MyShop,2020-08-31,7.400000000000002
